Word Count,Unique Words,Characters,Average Word Lengths,Unique Proportion,Hapax Legomenons,Sentence Count,Average Sentence Length,Punctuation Marks,Stop Words,Complex Verbs,Sophisticated Adjectives,Adverbs,Questions,Exclamations,Contractions,Abstract Nouns,VADER Score,Subjectivity,Polarity,Flesch Reading Score,Gunning Fog,First Person Pronouns,Direct Addresses,Date Entities,Role
122,63,481,3.942622950819672,0.5163934426229508,0.08731808731808732,9,13.555555555555555,23,49,12,1,13,0,0,0,0,-0.3919,0.3428571428571429,0.07142857142857142,90.44660291438981,6.405828779599272,1,0,8,3
298,148,1697,5.694630872483222,0.4966442953020134,0.052445492044784915,20,14.9,36,101,41,9,21,0,0,3,0,0.4746,0.44845238095238094,0.1842857142857143,46.926265100671145,14.416375838926175,0,0,0,0
346,104,1568,4.531791907514451,0.30057803468208094,0.028698979591836735,15,23.066666666666666,51,129,18,6,24,0,0,1,0,0.9981,0.5249999999999999,0.2472222222222222,74.12695761078999,12.001233140655106,1,0,20,1
153,98,817,5.339869281045751,0.6405228758169934,0.09179926560587515,13,11.76923076923077,25,50,9,5,14,1,0,1,0,0.9527,0.5380668934240362,0.1960034013605442,62.18334841628962,10.720764203117145,1,0,0,5
58,33,233,4.017241379310345,0.5689655172413793,0.07725321888412018,3,19.333333333333332,14,20,7,2,7,0,0,0,0,0.9534,0.5376103896103896,0.016623376623376616,71.98063218390807,11.871264367816092,0,0,3,1
132,87,661,5.007575757575758,0.6590909090909091,0.10287443267776097,12,11.0,20,42,15,6,9,1,0,3,0,0.9679,0.36243386243386244,0.04603174603174602,72.61545454545457,8.945454545454545,1,0,0,7
823,152,2871,3.488456865127582,0.18469015795868773,0.025426680599094392,26,31.653846153846153,308,224,80,15,35,0,0,9,0,-0.9574,0.5150910364145659,0.048214285714285716,59.26795004206002,16.987176371623516,2,0,0,10
278,108,1361,4.89568345323741,0.38848920863309355,0.055841293166789124,24,11.583333333333334,53,82,20,15,20,1,0,1,0,-0.0387,0.33635531135531127,0.2945054945054945,62.700218824940066,10.676498800959234,1,0,10,8
162,90,821,5.067901234567901,0.5555555555555556,0.07186358099878197,7,23.142857142857142,27,60,18,10,9,0,0,3,0,-0.8922,0.47341269841269834,-0.09920634920634921,53.83388888888891,15.923809523809524,3,0,0,7
381,146,1966,5.16010498687664,0.38320209973753283,0.0422177009155646,30,12.7,52,142,44,8,27,0,0,14,0,-0.2658,0.2801767676767677,0.07253787878787878,60.27205905511812,11.694173228346457,1,1,0,2
